2024-03-24 19:07:29 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: button#add-to-cart-sauce-labs-bike-light]
2024-03-24 19:07:29 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:29 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: button#add-to-cart-sauce-labs-bike-light]
2024-03-24 19:07:30 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:30 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: button#add-to-cart-sauce-labs-bike-light]
2024-03-24 19:07:30 INFO  TestBase:106 - Clicked on [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: button#add-to-cart-sauce-labs-bike-light]
2024-03-24 19:07:30 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:30 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: a#item_1_title_link>div]
2024-03-24 19:07:30 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:30 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: a#item_1_title_link>div]
2024-03-24 19:07:30 INFO  TestBase:166 - Getting text
2024-03-24 19:07:30 INFO  TestBase:172 - Text retrieved
2024-03-24 19:07:30 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:30 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: a#item_3_title_link>div]
2024-03-24 19:07:30 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:30 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: a#item_3_title_link>div]
2024-03-24 19:07:30 INFO  TestBase:166 - Getting text
2024-03-24 19:07:30 INFO  TestBase:172 - Text retrieved
2024-03-24 19:07:30 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:31 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:31 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:32 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:32 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:33 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:34 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:34 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:35 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:35 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:36 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:36 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:37 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:37 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:38 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:38 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:39 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:40 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:40 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:40 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:09 INFO  TestBase:37 - Launching Edge browser
2024-03-24 19:12:15 INFO  TestBase:30 - Loading the page
2024-03-24 19:12:15 INFO  TestBase:40 - Navigating to url : https://www.saucedemo.com/
2024-03-24 19:12:15 INFO  TestBase:46 - Successfully navigated to url : https://www.saucedemo.com/
2024-03-24 19:12:15 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:16 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: input#user-name]
2024-03-24 19:12:16 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:16 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: input#user-name]
2024-03-24 19:12:16 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:17 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: input#password]
2024-03-24 19:12:17 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:17 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: input#password]
2024-03-24 19:12:17 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:17 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: input#login-button]
2024-03-24 19:12:17 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:17 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: input#login-button]
2024-03-24 19:12:17 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:18 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: input#login-button]
2024-03-24 19:12:18 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:18 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: select.product_sort_container]
2024-03-24 19:12:18 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:18 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: select.product_sort_container]
2024-03-24 19:12:18 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:18 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: select.product_sort_container]
2024-03-24 19:12:18 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:18 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: select.product_sort_container]
2024-03-24 19:12:18 INFO  TestBase:88 - Finding element: [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: select.product_sort_container]
2024-03-24 19:12:18 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: select.product_sort_container]
2024-03-24 19:12:19 INFO  TestBase:106 - Clicked on [[[[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: select.product_sort_container]] -> xpath: .//option[@value = "lohi"]]
2024-03-24 19:12:19 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:19 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: button#add-to-cart-sauce-labs-bolt-t-shirt]
2024-03-24 19:12:19 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:19 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: button#add-to-cart-sauce-labs-bolt-t-shirt]
2024-03-24 19:12:19 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:19 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: button#add-to-cart-sauce-labs-bolt-t-shirt]
2024-03-24 19:12:19 INFO  TestBase:106 - Clicked on [[EdgeDriver: MicrosoftEdge on WINDOWS (bad47febacf7910caabce4715c09613f)] -> css selector: button#add-to-cart-sauce-labs-bolt-t-shirt]
2024-03-24 19:12:19 INFO  TestBase:88 - Finding element: null
